#                   T = 1.60                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.82704092E-01  9.57508285E-04
  7.75500000E-02  1.78586063E-01  8.97875716E-04
  1.55100000E-01  1.69718358E-01  8.77834621E-04
  2.32600000E-01  1.57882085E-01  7.33577483E-04
  3.10200000E-01  1.43165668E-01  5.84990443E-04
  3.87700000E-01  1.26610386E-01  5.16570421E-04
  4.65300000E-01  1.09241538E-01  4.05317539E-04
  5.42800000E-01  9.21864522E-02  3.43825408E-04
  6.20400000E-01  7.58740207E-02  2.71907321E-04
  6.97900000E-01  6.08947181E-02  2.49382591E-04
  7.75500000E-01  4.76915232E-02  2.35851065E-04
  8.53000000E-01  3.63829594E-02  2.12265086E-04
  9.30600000E-01  2.71798880E-02  2.01235547E-04
  1.00800000E+00  1.97346428E-02  1.57414061E-04
  1.08600000E+00  1.40830122E-02  1.27608325E-04
  1.16300000E+00  9.81251738E-03  1.05332137E-04
  1.24100000E+00  6.70555530E-03  8.42653299E-05
  1.31800000E+00  4.50390953E-03  6.52712779E-05
  1.39600000E+00  3.03757715E-03  5.01939205E-05
  1.47300000E+00  2.10729526E-03  3.87464553E-05
  1.55100000E+00  1.54655092E-03  3.24386004E-05
  1.62900000E+00  1.32324560E-03  2.99536040E-05
  1.70600000E+00  1.33869093E-03  3.15025501E-05
  1.78400000E+00  1.61773963E-03  3.65964695E-05
  1.86100000E+00  2.15322549E-03  4.48670149E-05
  1.93900000E+00  2.99129223E-03  5.40822874E-05
  2.01600000E+00  4.22597426E-03  6.62829370E-05
  2.09400000E+00  5.89339126E-03  7.60907656E-05
  2.17100000E+00  8.10033864E-03  8.48168277E-05
  2.24900000E+00  1.08952951E-02  9.47262732E-05
  2.32600000E+00  1.44184148E-02  1.05929231E-04
  2.40400000E+00  1.86725653E-02  1.07460614E-04
  2.48200000E+00  2.36141538E-02  1.11157874E-04
  2.55900000E+00  2.92444286E-02  1.09486523E-04
  2.63700000E+00  3.54301268E-02  1.11375623E-04
  2.71400000E+00  4.20012014E-02  1.02971919E-04
  2.79200000E+00  4.85655264E-02  9.95079757E-05
  2.86900000E+00  5.48393345E-02  1.03539830E-04
  2.94700000E+00  6.05448479E-02  1.08695264E-04
  3.02400000E+00  6.51415501E-02  1.15596210E-04
  3.10200000E+00  6.83890579E-02  1.30594265E-04
  3.18000000E+00  7.00525021E-02  1.36484590E-04
  3.25700000E+00  6.99921973E-02  1.36539304E-04
  3.33500000E+00  6.81142355E-02  1.46990653E-04
  3.41200000E+00  6.45185519E-02  1.51341879E-04
  3.49000000E+00  5.94580273E-02  1.45776035E-04
  3.56700000E+00  5.33256115E-02  1.38252992E-04
  3.64500000E+00  4.64529349E-02  1.23335159E-04
  3.72200000E+00  3.93614101E-02  1.08891252E-04
  3.80000000E+00  3.24108444E-02  1.02377188E-04
  3.87700000E+00  2.58911048E-02  9.31137076E-05
  3.95500000E+00  2.01382503E-02  8.25445036E-05
  4.03300000E+00  1.51997313E-02  6.74871540E-05
  4.11000000E+00  1.12160703E-02  6.16752091E-05
  4.18800000E+00  8.11134252E-03  5.12508822E-05
  4.26500000E+00  5.78718157E-03  4.52598886E-05
  4.34300000E+00  4.18770547E-03  3.79337427E-05
  4.42000000E+00  3.13618962E-03  3.36882087E-05
  4.49800000E+00  2.57607911E-03  3.20349976E-05
  4.57500000E+00  2.40417161E-03  3.01011748E-05
  4.65300000E+00  2.58322215E-03  3.55448506E-05
  4.73100000E+00  3.09543110E-03  4.07115705E-05
  4.80800000E+00  3.92618670E-03  4.80267600E-05
  4.88600000E+00  5.13365296E-03  5.60026425E-05
  4.96300000E+00  6.74750772E-03  6.51127096E-05
  5.04100000E+00  8.84269209E-03  7.28977624E-05
  5.11800000E+00  1.15053961E-02  7.95350221E-05
  5.19600000E+00  1.47878837E-02  8.38946681E-05
  5.27300000E+00  1.87612787E-02  9.10215393E-05
  5.35100000E+00  2.34926961E-02  9.50970685E-05
  5.42800000E+00  2.89535642E-02  9.00953680E-05
  5.50600000E+00  3.51535150E-02  8.87367613E-05
  5.58400000E+00  4.18811237E-02  8.49359285E-05
  5.66100000E+00  4.90183646E-02  8.10996467E-05
  5.73900000E+00  5.62676733E-02  7.69802599E-05
  5.81600000E+00  6.32859837E-02  7.96414336E-05
  5.89400000E+00  6.96871417E-02  8.83930438E-05
  5.97100000E+00  7.49359388E-02  8.78489170E-05
