#                   T = 1.60                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  3.46234822E-06  1.04298235E-06
  7.75500000E-02  2.83530878E-06  6.84901283E-07
  1.55100000E-01  3.23879503E-06  7.00985833E-07
  2.32600000E-01  3.36108720E-06  7.26113616E-07
  3.10200000E-01  3.86522864E-06  7.47377918E-07
  3.87700000E-01  3.74984457E-06  6.86040967E-07
  4.65300000E-01  4.60737677E-06  7.82157951E-07
  5.42800000E-01  5.42343680E-06  8.99140726E-07
  6.20400000E-01  5.67061757E-06  7.86140197E-07
  6.97900000E-01  6.19004154E-06  8.27179706E-07
  7.75500000E-01  7.13241138E-06  7.50595864E-07
  8.53000000E-01  8.05550104E-06  8.70819185E-07
  9.30600000E-01  8.65205380E-06  8.87931094E-07
  1.00800000E+00  1.00770590E-05  9.05021588E-07
  1.08600000E+00  1.09708400E-05  8.60890312E-07
  1.16300000E+00  1.26023495E-05  9.21118976E-07
  1.24100000E+00  1.39163101E-05  9.19815311E-07
  1.31800000E+00  1.63941604E-05  1.14023477E-06
  1.39600000E+00  1.74532118E-05  1.10716552E-06
  1.47300000E+00  1.96031963E-05  1.17100571E-06
  1.55100000E+00  2.15401015E-05  1.22117843E-06
  1.62900000E+00  2.42497519E-05  1.36096455E-06
  1.70600000E+00  2.77145375E-05  1.44503807E-06
  1.78400000E+00  3.09059098E-05  1.48167780E-06
  1.86100000E+00  3.46713308E-05  1.54910895E-06
  1.93900000E+00  3.88454409E-05  1.63828055E-06
  2.01600000E+00  4.37101531E-05  1.75029135E-06
  2.09400000E+00  4.95470210E-05  1.85588607E-06
  2.17100000E+00  5.50895522E-05  1.94175598E-06
  2.24900000E+00  6.15750884E-05  2.05346836E-06
  2.32600000E+00  6.86896457E-05  2.10083893E-06
  2.40400000E+00  7.74781013E-05  2.21559695E-06
  2.48200000E+00  8.60914668E-05  2.28847048E-06
  2.55900000E+00  9.73131848E-05  2.37771794E-06
  2.63700000E+00  1.09652485E-04  2.50126213E-06
  2.71400000E+00  1.25140254E-04  2.61376243E-06
  2.79200000E+00  1.41397207E-04  2.69198045E-06
  2.86900000E+00  1.63010262E-04  2.88453360E-06
  2.94700000E+00  1.87544275E-04  2.98806427E-06
  3.02400000E+00  2.17581996E-04  3.10119625E-06
  3.10200000E+00  2.53151945E-04  3.24812983E-06
  3.18000000E+00  2.97317206E-04  3.39857431E-06
  3.25700000E+00  3.49140052E-04  3.64057011E-06
  3.33500000E+00  4.12436211E-04  3.87815021E-06
  3.41200000E+00  4.88593299E-04  4.16856621E-06
  3.49000000E+00  5.81260769E-04  4.61559834E-06
  3.56700000E+00  6.91499624E-04  4.76971319E-06
  3.64500000E+00  8.27306083E-04  5.23821135E-06
  3.72200000E+00  9.88647270E-04  5.67445269E-06
  3.80000000E+00  1.18383422E-03  6.22238566E-06
  3.87700000E+00  1.41920323E-03  7.01074952E-06
  3.95500000E+00  1.69881660E-03  7.76030176E-06
  4.03300000E+00  2.03278891E-03  8.45759695E-06
  4.11000000E+00  2.43402825E-03  9.48579875E-06
  4.18800000E+00  2.90472532E-03  1.06125380E-05
  4.26500000E+00  3.46577348E-03  1.16592401E-05
  4.34300000E+00  4.11782278E-03  1.28938934E-05
  4.42000000E+00  4.88872048E-03  1.41564190E-05
  4.49800000E+00  5.77547715E-03  1.58543332E-05
  4.57500000E+00  6.80355710E-03  1.68636918E-05
  4.65300000E+00  7.98092017E-03  1.84684765E-05
  4.73100000E+00  9.31235758E-03  2.05104723E-05
  4.80800000E+00  1.08113124E-02  2.33646337E-05
  4.88600000E+00  1.24885649E-02  2.47733808E-05
  4.96300000E+00  1.43259101E-02  2.88662071E-05
  5.04100000E+00  1.63321773E-02  3.00148436E-05
  5.11800000E+00  1.84677833E-02  3.50408052E-05
  5.19600000E+00  2.07139138E-02  3.78963856E-05
  5.27300000E+00  2.30170608E-02  4.31129801E-05
  5.35100000E+00  2.53201149E-02  4.74271778E-05
  5.42800000E+00  2.75373259E-02  5.15904484E-05
  5.50600000E+00  2.95890798E-02  5.62637753E-05
  5.58400000E+00  3.13742475E-02  5.92890246E-05
  5.66100000E+00  3.28155780E-02  6.21962783E-05
  5.73900000E+00  3.37899210E-02  6.47814995E-05
  5.81600000E+00  3.42197737E-02  6.48217319E-05
  5.89400000E+00  3.40491243E-02  6.49607418E-05
  5.97100000E+00  3.32260372E-02  6.61852976E-05
  6.04900000E+00  3.17609812E-02  6.56072153E-05
  6.12600000E+00  2.97006714E-02  6.33232498E-05
  6.20400000E+00  2.71402264E-02  5.94702745E-05
  6.28200000E+00  2.41948812E-02  5.46410912E-05
  6.35900000E+00  2.10077700E-02  4.95891177E-05
  6.43700000E+00  1.77653507E-02  4.47659936E-05
  6.51400000E+00  1.46215800E-02  3.84038930E-05
  6.59200000E+00  1.17017603E-02  3.20352129E-05
  6.66900000E+00  9.11940021E-03  2.59980607E-05
  6.74700000E+00  6.93807490E-03  2.12221344E-05
  6.82400000E+00  5.17665850E-03  1.66186185E-05
  6.90200000E+00  3.83975804E-03  1.30846086E-05
  6.97900000E+00  2.89022888E-03  1.06266749E-05
  7.05700000E+00  2.27596055E-03  8.63120373E-06
  7.13500000E+00  1.95353379E-03  8.21486356E-06
  7.21200000E+00  1.87605740E-03  7.89598152E-06
  7.29000000E+00  2.01002866E-03  8.52606825E-06
  7.36700000E+00  2.34271998E-03  9.52831508E-06
  7.44500000E+00  2.87276927E-03  1.04214134E-05
  7.52200000E+00  3.62142429E-03  1.15661613E-05
  7.60000000E+00  4.61218772E-03  1.24355704E-05
  7.67700000E+00  5.89407883E-03  1.36094345E-05
  7.75500000E+00  7.53911928E-03  1.45942115E-05
  7.83300000E+00  9.59688943E-03  1.59300180E-05
  7.91000000E+00  1.21650645E-02  1.65672775E-05
  7.98800000E+00  1.53275648E-02  1.75271733E-05
  8.06500000E+00  1.91592983E-02  1.86085055E-05
  8.14300000E+00  2.37463201E-02  1.90246813E-05
  8.22000000E+00  2.91340033E-02  1.82851922E-05
  8.29800000E+00  3.53622942E-02  1.86271434E-05
  8.37500000E+00  4.23594014E-02  1.72998682E-05
  8.45300000E+00  5.00106144E-02  1.63332009E-05
  8.53000000E+00  5.80582651E-02  1.95513291E-05
  8.60800000E+00  6.61469776E-02  2.03750737E-05
  8.68600000E+00  7.37733476E-02  1.75446574E-05
  8.76300000E+00  8.02964068E-02  1.93970471E-05
  8.84100000E+00  8.50436568E-02  2.19467970E-05
  8.91800000E+00  8.73148873E-02  2.35877970E-05
  8.99600000E+00  8.65414139E-02  2.49169316E-05
  9.07300000E+00  8.23832902E-02  2.51673225E-05
  9.15100000E+00  7.48669811E-02  2.43397344E-05
  9.22800000E+00  6.45119181E-02  2.11595895E-05
  9.30600000E+00  5.22445209E-02  1.95143029E-05
  9.38400000E+00  3.93774356E-02  1.48752003E-05
  9.46100000E+00  2.72351111E-02  1.04981950E-05
  9.53900000E+00  1.70154919E-02  7.60361121E-06
  9.61600000E+00  9.37303047E-03  4.77178632E-06
  9.69400000E+00  4.41463573E-03  2.88749318E-06
  9.77100000E+00  1.69903971E-03  1.59069884E-06
  9.84900000E+00  5.00320811E-04  6.98737080E-07
  9.92600000E+00  1.05788905E-04  3.64001895E-07
  1.00000000E+01  1.55976719E-05  1.16447781E-07
  1.00800000E+01  1.55438513E-06  4.32797559E-08
