1.033547	0.0611365	2.127996	0.07611605
1.15582		0.0611365	2.030007	0.09249562
1.302824	0.073502	2.108816	0.07584204
1.447089	0.0721325	2.112819	0.0624978
1.601508	0.0772095	2.150863	0.06260866
1.752902	0.075697	2.217723	0.08829358
1.901296	0.074197	2.223693	0.09518881
2.046858	0.072781	2.162494	0.08854327
2.201257	0.0771995	2.162228	0.103681
2.352467	0.075605	2.215342	0.0926412
2.500542	0.0740375	2.310144	0.1023636
2.656632	0.078045	2.432367	0.08172183
2.809398	0.076383	2.424183	0.09354673
2.95863		0.074616	2.463253	0.08757313
3.104759	0.0730645	2.557117	0.06459284
3.24779		0.0715155	2.563394	0.0766877
3.397509	0.0748595	2.655038	0.1095444
3.553546	0.0780185	2.685393	0.122845
3.70591		0.076182	2.622541	0.1417906
3.85451		0.0743		2.68715		0.1341697
3.999771	0.0726305	2.75933		0.1041823
4.150269	0.075249	2.860648	0.1302795
4.305696	0.0777135	2.948212	0.1605889
4.440362	0.067333	3.326364	0.4541059
