#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.25000000E-01  0.00000000E+00  0.00000000E+00
  2.50000000E-01  0.00000000E+00  0.00000000E+00
  3.75000000E-01  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00
  6.25000000E-01  0.00000000E+00  0.00000000E+00
  7.50000000E-01  0.00000000E+00  0.00000000E+00
  8.75000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  4.23814545E-05  1.14456806E-05
  1.12500000E+00  5.21810090E-02  4.04236021E-04
  1.25000000E+00  9.49708948E-01  1.88578877E-03
  1.37500000E+00  3.94904263E+00  3.69256881E-03
  1.50000000E+00  8.46744021E+00  5.22103302E-03
  1.62500000E+00  1.27395622E+01  6.13921652E-03
  1.75000000E+00  1.54145540E+01  5.35655649E-03
  1.87500000E+00  1.61226800E+01  6.62371555E-03
  2.00000000E+00  1.52227553E+01  6.61175084E-03
  2.12500000E+00  1.33807841E+01  4.96344052E-03
  2.25000000E+00  1.12216690E+01  4.51965779E-03
  2.37500000E+00  9.20983902E+00  3.78895150E-03
  2.50000000E+00  7.62677508E+00  3.50716965E-03
  2.62500000E+00  6.57728670E+00  3.43542185E-03
  2.75000000E+00  6.05616735E+00  3.80058895E-03
  2.87500000E+00  6.00153495E+00  3.03455880E-03
  3.00000000E+00  6.27911573E+00  2.86065712E-03
  3.12500000E+00  6.74451864E+00  2.88561019E-03
  3.25000000E+00  7.24498077E+00  2.41571374E-03
  3.37500000E+00  7.63035930E+00  2.12056262E-03
  3.50000000E+00  7.81529061E+00  2.07580981E-03
  3.62500000E+00  7.76960160E+00  2.12829831E-03
  3.75000000E+00  7.49507919E+00  1.94111844E-03
  3.87500000E+00  7.03941243E+00  2.41379563E-03
  4.00000000E+00  6.47138922E+00  1.94422300E-03
  4.12500000E+00  5.86430313E+00  1.89287936E-03
  4.25000000E+00  5.30855636E+00  1.99278626E-03
  4.37500000E+00  4.87455741E+00  2.11014534E-03
  4.50000000E+00  4.61661289E+00  2.34018783E-03
  4.62500000E+00  4.55799139E+00  2.44057537E-03
  4.75000000E+00  4.67486370E+00  2.31790733E-03
  4.87500000E+00  4.90620750E+00  1.79710172E-03
  5.00000000E+00  5.16398245E+00  1.65404319E-03
  5.12500000E+00  5.36560422E+00  1.50045763E-03
  5.25000000E+00  5.44742939E+00  1.77667274E-03
  5.37500000E+00  5.38835537E+00  1.72251349E-03
  5.50000000E+00  5.21052000E+00  1.40208962E-03
  5.62500000E+00  4.95834427E+00  1.36528348E-03
  5.75000000E+00  4.68078300E+00  1.50168795E-03
  5.87500000E+00  4.42565997E+00  1.55368127E-03
  6.00000000E+00  4.22567917E+00  1.93119065E-03
  6.12500000E+00  4.10719502E+00  2.08250195E-03
  6.25000000E+00  4.07168078E+00  2.00151158E-03
  6.37500000E+00  4.11035522E+00  1.79289449E-03
  6.50000000E+00  4.20193623E+00  1.73995150E-03
  6.62500000E+00  4.31282261E+00  1.50911441E-03
  6.75000000E+00  4.40878061E+00  1.36204970E-03
  6.87500000E+00  4.46083558E+00  1.24702496E-03
  7.00000000E+00  4.45311648E+00  1.24609846E-03
  7.12500000E+00  4.38606142E+00  1.09535890E-03
  7.25000000E+00  4.27852840E+00  1.10293343E-03
  7.37500000E+00  4.15448182E+00  1.00835851E-03
  7.50000000E+00  4.04437827E+00  1.11784764E-03
  7.62500000E+00  3.97314176E+00  1.17560906E-03
  7.75000000E+00  3.95031840E+00  1.20154294E-03
  7.87500000E+00  3.96934373E+00  1.32316208E-03
  8.00000000E+00  4.01235157E+00  1.37732686E-03
  8.12500000E+00  4.05588168E+00  1.20708448E-03
  8.25000000E+00  4.08272484E+00  9.27954128E-04
  8.37500000E+00  4.08047751E+00  1.04125319E-03
  8.50000000E+00  4.04823521E+00  1.17090071E-03
  8.62500000E+00  3.98587871E+00  1.08026162E-03
  8.75000000E+00  3.89907260E+00  9.60767567E-04
  8.87500000E+00  3.79286897E+00  6.58478206E-04
  9.00000000E+00  3.67731489E+00  6.78312531E-04
  9.12500000E+00  3.56281514E+00  6.62424064E-04
  9.25000000E+00  3.46345468E+00  6.95374887E-04
  9.37500000E+00  3.38832514E+00  6.05363780E-04
  9.50000000E+00  3.34339703E+00  6.53624616E-04
  9.62500000E+00  3.32202540E+00  6.43668082E-04
  9.75000000E+00  3.31212073E+00  6.32928729E-04
  9.87500000E+00  3.29936488E+00  6.10076626E-04
  1.00000000E+01  3.27268607E+00  5.93385992E-04
  1.01200000E+01  3.22953106E+00  6.22453218E-04
  1.02500000E+01  3.16956554E+00  6.83509012E-04
  1.03800000E+01  3.08907664E+00  6.93460962E-04
  1.05000000E+01  2.98290344E+00  7.61775429E-04
  1.06200000E+01  2.85239371E+00  7.09629385E-04
  1.07500000E+01  2.70894486E+00  7.86566225E-04
  1.08800000E+01  2.56843610E+00  6.84912872E-04
  1.10000000E+01  2.43995364E+00  6.01885107E-04
  1.11200000E+01  2.32199544E+00  4.79653521E-04
  1.12500000E+01  2.21001680E+00  4.87526029E-04
  1.13800000E+01  2.10388006E+00  4.00744517E-04
  1.15000000E+01  2.00766534E+00  3.71892208E-04
  1.16200000E+01  1.92809831E+00  3.73618218E-04
  1.17500000E+01  1.86820549E+00  3.50179375E-04
  1.18800000E+01  1.82407003E+00  3.64624754E-04
  1.20000000E+01  1.78824702E+00  3.37337710E-04
  1.21200000E+01  1.75615434E+00  3.07440360E-04
  1.22500000E+01  1.72333175E+00  2.94717578E-04
  1.23800000E+01  1.69007130E+00  3.93972707E-04
