#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  1.41200000E+01  1.10346509E+00  4.33934920E-04
  1.42500000E+01  1.10047870E+00  3.53475754E-04
  1.43800000E+01  1.08679764E+00  2.68987474E-04
  1.45000000E+01  1.02222903E+00  2.37323244E-04
  1.46200000E+01  9.74639314E-01  3.57410863E-04
  1.47500000E+01  9.14382560E-01  4.44498634E-04
  1.48800000E+01  8.38535817E-01  4.64169132E-04
  1.50000000E+01  7.49384440E-01  4.17582228E-04
  1.51200000E+01  6.54780765E-01  3.01791396E-04
  1.52500000E+01  5.60397812E-01  2.70083792E-04
  1.53800000E+01  4.74427037E-01  3.47606986E-04
  1.55000000E+01  4.05686212E-01  4.39833257E-04
  1.56200000E+01  3.61225182E-01  3.83553378E-04
  1.57500000E+01  3.39758900E-01  2.66779538E-04
  1.58800000E+01  3.30669854E-01  1.54271017E-04
  1.60000000E+01  3.21178062E-01  1.85467821E-04
  1.61200000E+01  3.03911366E-01  2.40659896E-04
  1.62500000E+01  2.79010553E-01  2.79634643E-04
  1.63800000E+01  2.46958683E-01  2.53758462E-04
  1.65000000E+01  2.07093845E-01  2.19577962E-04
  1.66200000E+01  1.62395853E-01  1.52984168E-04
  1.67500000E+01  1.20354913E-01  1.19886399E-04
  1.68800000E+01  8.86907658E-02  1.16317545E-04
  1.70000000E+01  6.94706739E-02  1.12410334E-04
  1.71200000E+01  5.90944056E-02  1.05903273E-04
  1.72500000E+01  5.26308559E-02  6.79788732E-05
  1.73800000E+01  4.63075321E-02  4.45691677E-05
  1.75000000E+01  3.72542621E-02  4.71654839E-05
  1.76200000E+01  2.50159615E-02  5.06695794E-05
  1.77500000E+01  1.25528509E-02  3.59872905E-05
  1.78800000E+01  4.10828647E-03  1.67789617E-05
  1.80000000E+01  7.23578623E-04  5.56729809E-06
  1.81200000E+01  5.16577541E-05  1.06730276E-06
  1.82500000E+01  9.43890321E-07  1.31090998E-07
  1.83800000E+01  0.00000000E+00  0.00000000E+00
  1.85000000E+01  0.00000000E+00  0.00000000E+00
  1.86200000E+01  0.00000000E+00  0.00000000E+00
  1.87500000E+01  0.00000000E+00  0.00000000E+00
  1.88800000E+01  0.00000000E+00  0.00000000E+00
  1.90000000E+01  0.00000000E+00  0.00000000E+00
  1.91200000E+01  0.00000000E+00  0.00000000E+00
  1.92500000E+01  0.00000000E+00  0.00000000E+00
  1.93800000E+01  0.00000000E+00  0.00000000E+00
  1.95000000E+01  0.00000000E+00  0.00000000E+00
  1.96200000E+01  0.00000000E+00  0.00000000E+00
  1.97500000E+01  0.00000000E+00  0.00000000E+00
  1.98800000E+01  0.00000000E+00  0.00000000E+00
  2.00000000E+01  0.00000000E+00  0.00000000E+00
  2.01200000E+01  0.00000000E+00  0.00000000E+00
  2.02500000E+01  0.00000000E+00  0.00000000E+00
  2.03800000E+01  0.00000000E+00  0.00000000E+00
  2.05000000E+01  0.00000000E+00  0.00000000E+00
  2.06200000E+01  0.00000000E+00  0.00000000E+00
  2.07500000E+01  0.00000000E+00  0.00000000E+00
  2.08800000E+01  0.00000000E+00  0.00000000E+00
  2.10000000E+01  0.00000000E+00  0.00000000E+00
  2.11200000E+01  0.00000000E+00  0.00000000E+00
  2.12500000E+01  0.00000000E+00  0.00000000E+00
  2.13800000E+01  0.00000000E+00  0.00000000E+00
  2.15000000E+01  0.00000000E+00  0.00000000E+00
  2.16200000E+01  0.00000000E+00  0.00000000E+00
  2.17500000E+01  0.00000000E+00  0.00000000E+00
  2.18800000E+01  0.00000000E+00  0.00000000E+00
  2.20000000E+01  0.00000000E+00  0.00000000E+00
  2.21200000E+01  0.00000000E+00  0.00000000E+00
  2.22500000E+01  0.00000000E+00  0.00000000E+00
  2.23800000E+01  0.00000000E+00  0.00000000E+00
  2.25000000E+01  0.00000000E+00  0.00000000E+00
  2.26200000E+01  0.00000000E+00  0.00000000E+00
  2.27500000E+01  0.00000000E+00  0.00000000E+00
  2.28800000E+01  0.00000000E+00  0.00000000E+00
  2.30000000E+01  0.00000000E+00  0.00000000E+00
  2.31200000E+01  0.00000000E+00  0.00000000E+00
  2.32500000E+01  0.00000000E+00  0.00000000E+00
  2.33800000E+01  0.00000000E+00  0.00000000E+00
  2.35000000E+01  0.00000000E+00  0.00000000E+00
  2.36200000E+01  0.00000000E+00  0.00000000E+00
  2.37500000E+01  0.00000000E+00  0.00000000E+00
  2.38800000E+01  0.00000000E+00  0.00000000E+00
  2.40000000E+01  0.00000000E+00  0.00000000E+00
  2.41200000E+01  0.00000000E+00  0.00000000E+00
  2.42500000E+01  0.00000000E+00  0.00000000E+00
  2.43800000E+01  0.00000000E+00  0.00000000E+00
  2.45000000E+01  0.00000000E+00  0.00000000E+00
  2.46200000E+01  0.00000000E+00  0.00000000E+00
  2.47500000E+01  0.00000000E+00  0.00000000E+00
  2.48800000E+01  0.00000000E+00  0.00000000E+00
