#                   T = 1.60                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.82350376E-01  6.13659072E-04
  7.75500000E-02  1.77929035E-01  5.66059981E-04
  1.55100000E-01  1.69910352E-01  5.21761739E-04
  2.32600000E-01  1.58631357E-01  4.54549084E-04
  3.10200000E-01  1.44455936E-01  4.24136083E-04
  3.87700000E-01  1.28534993E-01  3.79602721E-04
  4.65300000E-01  1.11757871E-01  3.78761698E-04
  5.42800000E-01  9.47027393E-02  3.63686929E-04
  6.20400000E-01  7.84252519E-02  3.38927701E-04
  6.97900000E-01  6.34714129E-02  3.14253112E-04
  7.75500000E-01  5.00305157E-02  2.81071712E-04
  8.53000000E-01  3.85788626E-02  2.50335555E-04
  9.30600000E-01  2.90070168E-02  2.16006740E-04
  1.00800000E+00  2.12897305E-02  1.84851914E-04
  1.08600000E+00  1.53773153E-02  1.50995140E-04
  1.16300000E+00  1.07993202E-02  1.21272016E-04
  1.24100000E+00  7.43872256E-03  9.28356086E-05
  1.31800000E+00  5.04142751E-03  7.06720384E-05
  1.39600000E+00  3.38851679E-03  5.49817844E-05
  1.47300000E+00  2.32710896E-03  4.16650250E-05
  1.55100000E+00  1.67174944E-03  3.01017400E-05
  1.62900000E+00  1.36272885E-03  2.40814042E-05
  1.70600000E+00  1.31798781E-03  2.15236181E-05
  1.78400000E+00  1.52919223E-03  2.11333989E-05
  1.86100000E+00  2.01259067E-03  2.37296610E-05
  1.93900000E+00  2.80130036E-03  2.90996272E-05
  2.01600000E+00  3.95525621E-03  3.35864305E-05
  2.09400000E+00  5.53278852E-03  4.06311675E-05
  2.17100000E+00  7.65130486E-03  4.69185364E-05
  2.24900000E+00  1.03777811E-02  5.42681286E-05
  2.32600000E+00  1.37912219E-02  6.23820246E-05
  2.40400000E+00  1.79632504E-02  6.94738852E-05
  2.48200000E+00  2.28717833E-02  7.34529766E-05
  2.55900000E+00  2.84663926E-02  8.29711830E-05
  2.63700000E+00  3.46433687E-02  8.77788005E-05
  2.71400000E+00  4.11755539E-02  8.44078319E-05
  2.79200000E+00  4.78188638E-02  9.07471577E-05
  2.86900000E+00  5.42594533E-02  8.64142938E-05
  2.94700000E+00  6.00944487E-02  9.22135960E-05
  3.02400000E+00  6.48820004E-02  8.99404986E-05
  3.10200000E+00  6.84054349E-02  8.66150714E-05
  3.18000000E+00  7.03489377E-02  8.61923288E-05
  3.25700000E+00  7.04663265E-02  8.53118987E-05
  3.33500000E+00  6.87833219E-02  8.86857127E-05
  3.41200000E+00  6.53923360E-02  8.77329972E-05
  3.49000000E+00  6.04869201E-02  9.20413179E-05
  3.56700000E+00  5.44168481E-02  9.50480539E-05
  3.64500000E+00  4.75915930E-02  9.79507048E-05
  3.72200000E+00  4.04549978E-02  9.64133475E-05
  3.80000000E+00  3.34108885E-02  9.13078838E-05
  3.87700000E+00  2.68503293E-02  8.01284399E-05
  3.95500000E+00  2.09135775E-02  7.05143286E-05
  4.03300000E+00  1.58649487E-02  5.89033251E-05
  4.11000000E+00  1.17378949E-02  5.07896398E-05
  4.18800000E+00  8.50792891E-03  4.29483372E-05
  4.26500000E+00  6.09218891E-03  3.67577084E-05
  4.34300000E+00  4.36790474E-03  3.31679400E-05
  4.42000000E+00  3.24200821E-03  2.96214916E-05
  4.49800000E+00  2.59977590E-03  2.87172289E-05
  4.57500000E+00  2.37514497E-03  2.86801745E-05
  4.65300000E+00  2.49572343E-03  2.90610615E-05
  4.73100000E+00  2.95040133E-03  3.03078617E-05
  4.80800000E+00  3.73442990E-03  3.16814172E-05
  4.88600000E+00  4.89091726E-03  3.49846336E-05
  4.96300000E+00  6.46085623E-03  3.91983725E-05
  5.04100000E+00  8.50318588E-03  4.24333660E-05
  5.11800000E+00  1.11117435E-02  4.59667030E-05
  5.19600000E+00  1.43536350E-02  4.82302043E-05
  5.27300000E+00  1.82780208E-02  5.01719860E-05
  5.35100000E+00  2.29558292E-02  5.40974273E-05
  5.42800000E+00  2.83817209E-02  5.30595330E-05
  5.50600000E+00  3.45169125E-02  5.38433895E-05
  5.58400000E+00  4.12515256E-02  5.96080151E-05
  5.66100000E+00  4.84319337E-02  6.51031082E-05
  5.73900000E+00  5.57435396E-02  6.51872347E-05
  5.81600000E+00  6.28452644E-02  6.78029561E-05
  5.89400000E+00  6.93437812E-02  6.34510218E-05
