#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.25000000E-01  0.00000000E+00  0.00000000E+00
  2.50000000E-01  0.00000000E+00  0.00000000E+00
  3.75000000E-01  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00
  6.25000000E-01  0.00000000E+00  0.00000000E+00
  7.50000000E-01  0.00000000E+00  0.00000000E+00
  8.75000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  3.12946972E-05  8.15265931E-06
  1.12500000E+00  6.37833834E-02  5.96368002E-04
  1.25000000E+00  1.15083081E+00  3.25753634E-03
  1.37500000E+00  4.73010914E+00  5.56081940E-03
  1.50000000E+00  9.91901524E+00  7.16996540E-03
  1.62500000E+00  1.44797742E+01  7.38521486E-03
  1.75000000E+00  1.67907712E+01  8.90964771E-03
  1.87500000E+00  1.66381059E+01  8.74755308E-03
  2.00000000E+00  1.47314658E+01  7.34397776E-03
  2.12500000E+00  1.20745671E+01  5.37239122E-03
  2.25000000E+00  9.49580563E+00  4.81180231E-03
  2.37500000E+00  7.50052489E+00  4.05373107E-03
  2.50000000E+00  6.26134100E+00  4.50912732E-03
  2.62500000E+00  5.81338401E+00  4.95120233E-03
  2.75000000E+00  6.04622866E+00  4.03349321E-03
  2.87500000E+00  6.76151789E+00  4.05622040E-03
  3.00000000E+00  7.73494203E+00  4.15441850E-03
  3.12500000E+00  8.69923645E+00  4.68911596E-03
  3.25000000E+00  9.43220175E+00  4.70992070E-03
  3.37500000E+00  9.79518788E+00  4.67351500E-03
  3.50000000E+00  9.75005053E+00  4.30351740E-03
  3.62500000E+00  9.33870828E+00  3.94832662E-03
  3.75000000E+00  8.67459131E+00  3.77111125E-03
  3.87500000E+00  7.88174298E+00  2.97816099E-03
  4.00000000E+00  7.11401431E+00  2.72354131E-03
  4.12500000E+00  6.51086371E+00  2.91847668E-03
  4.25000000E+00  6.17307773E+00  3.06068262E-03
  4.37500000E+00  6.12233402E+00  2.74797640E-03
  4.50000000E+00  6.33201264E+00  2.62022319E-03
  4.62500000E+00  6.69330565E+00  3.37829485E-03
  4.75000000E+00  7.07698498E+00  3.91256223E-03
  4.87500000E+00  7.35081341E+00  4.08965128E-03
  5.00000000E+00  7.44766544E+00  4.03792344E-03
  5.12500000E+00  7.33495987E+00  3.72596749E-03
  5.25000000E+00  7.04468297E+00  3.15918531E-03
  5.37500000E+00  6.64690214E+00  2.97834998E-03
  5.50000000E+00  6.22161560E+00  2.63486832E-03
  5.62500000E+00  5.85336271E+00  2.37448763E-03
  5.75000000E+00  5.58850700E+00  1.94322628E-03
  5.87500000E+00  5.45426086E+00  2.12304324E-03
  6.00000000E+00  5.43784018E+00  1.76397813E-03
  6.12500000E+00  5.50202101E+00  2.17943516E-03
  6.25000000E+00  5.58673310E+00  2.37447258E-03
  6.37500000E+00  5.64722586E+00  2.28483793E-03
  6.50000000E+00  5.65857998E+00  2.44924615E-03
  6.62500000E+00  5.60503045E+00  2.48971227E-03
  6.75000000E+00  5.48934174E+00  2.64519871E-03
  6.87500000E+00  5.32596199E+00  2.21451303E-03
  7.00000000E+00  5.12539634E+00  1.91865012E-03
  7.12500000E+00  4.91672094E+00  2.12466277E-03
  7.25000000E+00  4.72763382E+00  2.34844447E-03
  7.37500000E+00  4.58428496E+00  2.27357587E-03
  7.50000000E+00  4.49611053E+00  2.05778632E-03
  7.62500000E+00  4.44704367E+00  1.91331768E-03
  7.75000000E+00  4.40545562E+00  1.89722806E-03
  7.87500000E+00  4.34703120E+00  2.19657055E-03
  8.00000000E+00  4.26619547E+00  1.93021332E-03
  8.12500000E+00  4.17588711E+00  1.79998199E-03
  8.25000000E+00  4.09145187E+00  1.65693507E-03
  8.37500000E+00  4.02597244E+00  1.48320783E-03
  8.50000000E+00  3.97626954E+00  1.55924032E-03
  8.62500000E+00  3.92707530E+00  1.65534702E-03
  8.75000000E+00  3.85494208E+00  1.80079440E-03
  8.87500000E+00  3.74534287E+00  1.74085007E-03
  9.00000000E+00  3.60355840E+00  1.38002322E-03
  9.12500000E+00  3.44315427E+00  1.69460182E-03
  9.25000000E+00  3.29340231E+00  1.76309145E-03
  9.37500000E+00  3.17693790E+00  1.62396662E-03
  9.50000000E+00  3.09635311E+00  1.37727155E-03
  9.62500000E+00  3.04345393E+00  1.36574531E-03
  9.75000000E+00  3.00017679E+00  1.50355109E-03
  9.87500000E+00  2.95594028E+00  1.44128003E-03
  1.00000000E+01  2.90447542E+00  1.42949196E-03
  1.01200000E+01  2.84810180E+00  1.41289658E-03
  1.02500000E+01  2.78417692E+00  1.47780173E-03
  1.03800000E+01  2.70684006E+00  1.42924864E-03
  1.05000000E+01  2.61149190E+00  1.46736868E-03
  1.06200000E+01  2.50106094E+00  1.32611916E-03
  1.07500000E+01  2.38714067E+00  1.43841775E-03
  1.08800000E+01  2.28160602E+00  1.33218521E-03
  1.10000000E+01  2.19332889E+00  1.20372193E-03
  1.11200000E+01  2.12027953E+00  1.17810920E-03
  1.12500000E+01  2.05768753E+00  1.16515042E-03
  1.13800000E+01  2.00023537E+00  1.32141612E-03
  1.15000000E+01  1.94203971E+00  1.27560114E-03
  1.16200000E+01  1.87975491E+00  1.01589467E-03
  1.17500000E+01  1.81611470E+00  1.08129218E-03
  1.18800000E+01  1.75642722E+00  1.31657399E-03
  1.20000000E+01  1.70556294E+00  1.33020269E-03
  1.21200000E+01  1.66250333E+00  1.29319228E-03
  1.22500000E+01  1.62496712E+00  1.29416378E-03
  1.23800000E+01  1.58887674E+00  1.13177509E-03
