#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.25000000E-01  0.00000000E+00  0.00000000E+00
  2.50000000E-01  0.00000000E+00  0.00000000E+00
  3.75000000E-01  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00
  6.25000000E-01  0.00000000E+00  0.00000000E+00
  7.50000000E-01  0.00000000E+00  0.00000000E+00
  8.75000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  2.91922427E-05  5.72876562E-06
  1.12500000E+00  3.93166992E-02  2.86010976E-04
  1.25000000E+00  7.10530116E-01  1.23235928E-03
  1.37500000E+00  2.97097308E+00  3.15926554E-03
  1.50000000E+00  6.46606053E+00  4.71774238E-03
  1.62500000E+00  1.00039243E+01  5.43626988E-03
  1.75000000E+00  1.26046012E+01  6.06631358E-03
  1.87500000E+00  1.39345143E+01  6.27186634E-03
  2.00000000E+00  1.41265096E+01  5.43584424E-03
  2.12500000E+00  1.34978767E+01  4.58631875E-03
  2.25000000E+00  1.23770520E+01  4.31765440E-03
  2.37500000E+00  1.10457963E+01  3.89145452E-03
  2.50000000E+00  9.69528422E+00  3.06723163E-03
  2.62500000E+00  8.43769072E+00  3.40218660E-03
  2.75000000E+00  7.35304676E+00  3.27205124E-03
  2.87500000E+00  6.47593403E+00  3.37256425E-03
  3.00000000E+00  5.83396862E+00  2.96833055E-03
  3.12500000E+00  5.41167904E+00  2.92267083E-03
  3.25000000E+00  5.19533652E+00  2.66006498E-03
  3.37500000E+00  5.14706915E+00  2.25571080E-03
  3.50000000E+00  5.21198125E+00  1.87170970E-03
  3.62500000E+00  5.33644137E+00  2.10765558E-03
  3.75000000E+00  5.46932166E+00  1.97931761E-03
  3.87500000E+00  5.56857039E+00  2.07327193E-03
  4.00000000E+00  5.60348458E+00  1.88369726E-03
  4.12500000E+00  5.56552326E+00  1.79871481E-03
  4.25000000E+00  5.45684559E+00  1.87014974E-03
  4.37500000E+00  5.29131923E+00  1.89255943E-03
  4.50000000E+00  5.08128171E+00  1.58779146E-03
  4.62500000E+00  4.84970091E+00  1.43208280E-03
  4.75000000E+00  4.61641942E+00  1.48271299E-03
  4.87500000E+00  4.40068882E+00  1.44897866E-03
  5.00000000E+00  4.21715534E+00  1.41583374E-03
  5.12500000E+00  4.07298895E+00  1.43843976E-03
  5.25000000E+00  3.96728096E+00  1.26191736E-03
  5.37500000E+00  3.89988966E+00  1.27928926E-03
  5.50000000E+00  3.86367991E+00  1.10744242E-03
  5.62500000E+00  3.84834316E+00  1.09179807E-03
  5.75000000E+00  3.84243597E+00  1.16247372E-03
  5.87500000E+00  3.83649675E+00  1.07479680E-03
  6.00000000E+00  3.82117211E+00  1.06430011E-03
  6.12500000E+00  3.79480108E+00  1.05299592E-03
  6.25000000E+00  3.75351784E+00  9.63825160E-04
  6.37500000E+00  3.69945243E+00  1.08908178E-03
  6.50000000E+00  3.63654120E+00  9.35611046E-04
  6.62500000E+00  3.56902373E+00  9.84694077E-04
  6.75000000E+00  3.50151763E+00  8.63889768E-04
  6.87500000E+00  3.43783474E+00  7.92717166E-04
  7.00000000E+00  3.38276730E+00  8.19093136E-04
  7.12500000E+00  3.33829383E+00  7.94832542E-04
  7.25000000E+00  3.30401024E+00  8.11507346E-04
  7.37500000E+00  3.27915243E+00  7.75486301E-04
  7.50000000E+00  3.26144787E+00  7.59367760E-04
  7.62500000E+00  3.24977301E+00  7.34036231E-04
  7.75000000E+00  3.24105473E+00  6.82458321E-04
  7.87500000E+00  3.23531833E+00  6.66571374E-04
  8.00000000E+00  3.22970565E+00  7.45320083E-04
  8.12500000E+00  3.22722110E+00  6.57914131E-04
  8.25000000E+00  3.22395569E+00  7.40364938E-04
  8.37500000E+00  3.22321609E+00  6.18213432E-04
  8.50000000E+00  3.22540851E+00  6.53932493E-04
  8.62500000E+00  3.23262453E+00  5.96281442E-04
  8.75000000E+00  3.24547303E+00  5.81573106E-04
  8.87500000E+00  3.26517957E+00  6.53181839E-04
  9.00000000E+00  3.29540922E+00  5.88336354E-04
  9.12500000E+00  3.33742565E+00  6.48989797E-04
  9.25000000E+00  3.39286847E+00  5.92951345E-04
  9.37500000E+00  3.46412917E+00  5.81292016E-04
  9.50000000E+00  3.55033747E+00  6.21994686E-04
  9.62500000E+00  3.64557600E+00  5.98236509E-04
  9.75000000E+00  3.74272217E+00  5.61390057E-04
  9.87500000E+00  3.82498038E+00  5.55802189E-04
  1.00000000E+01  3.87234994E+00  4.90161472E-04
  1.01200000E+01  3.86405842E+00  5.29927077E-04
  1.02500000E+01  3.78421610E+00  5.34336777E-04
  1.03800000E+01  3.63319021E+00  5.24062811E-04
  1.05000000E+01  3.42730309E+00  5.03082918E-04
  1.06200000E+01  3.19888542E+00  4.77146176E-04
  1.07500000E+01  2.97938216E+00  4.81198470E-04
  1.08800000E+01  2.78846937E+00  5.03603393E-04
  1.10000000E+01  2.62977431E+00  4.63100024E-04
  1.11200000E+01  2.49855307E+00  4.07070752E-04
  1.12500000E+01  2.38636790E+00  4.01673618E-04
  1.13800000E+01  2.28773080E+00  3.92316838E-04
  1.15000000E+01  2.19895872E+00  4.02626801E-04
  1.16200000E+01  2.11813148E+00  3.71817498E-04
  1.17500000E+01  2.04481821E+00  3.81877688E-04
  1.18800000E+01  1.97722721E+00  3.61806589E-04
  1.20000000E+01  1.91438732E+00  3.16301730E-04
  1.21200000E+01  1.85581463E+00  3.21873090E-04
  1.22500000E+01  1.80029816E+00  3.15797539E-04
  1.23800000E+01  1.74839172E+00  3.32984846E-04
