#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  1.41200000E+01  9.99372999E-01  2.45884288E-04
  1.42500000E+01  9.99957865E-01  2.78815085E-04
  1.43800000E+01  9.99997016E-01  2.44006924E-04
  1.45000000E+01  9.99917134E-01  2.28171649E-04
  1.46200000E+01  9.99745808E-01  2.11651307E-04
  1.47500000E+01  1.00007732E+00  2.27104132E-04
  1.48800000E+01  1.00003767E+00  2.27425582E-04
  1.50000000E+01  9.99834884E-01  2.14281775E-04
  1.51200000E+01  1.00006659E+00  2.28780291E-04
  1.52500000E+01  1.00016437E+00  2.35340739E-04
  1.53800000E+01  1.00010828E+00  2.53126020E-04
  1.55000000E+01  1.00011793E+00  2.58825588E-04
  1.56200000E+01  9.99992727E-01  2.56352210E-04
  1.57500000E+01  1.00015695E+00  2.30952571E-04
  1.58800000E+01  1.00015896E+00  2.11798578E-04
  1.60000000E+01  9.99910749E-01  2.35139561E-04
  1.61200000E+01  1.00006606E+00  2.29804155E-04
  1.62500000E+01  9.99902558E-01  2.44011068E-04
  1.63800000E+01  9.99653208E-01  2.39645542E-04
  1.65000000E+01  1.00022884E+00  2.28524791E-04
  1.66200000E+01  1.00004799E+00  2.41053865E-04
  1.67500000E+01  9.99999964E-01  2.27975136E-04
  1.68800000E+01  9.99808986E-01  2.14389491E-04
  1.70000000E+01  9.99732453E-01  2.15879061E-04
  1.71200000E+01  9.99886414E-01  2.30432566E-04
  1.72500000E+01  9.99896545E-01  2.25515317E-04
  1.73800000E+01  9.99878977E-01  2.31346457E-04
  1.75000000E+01  9.99647956E-01  2.18388532E-04
  1.76200000E+01  9.99974570E-01  2.14496580E-04
  1.77500000E+01  9.99695609E-01  2.22511912E-04
  1.78800000E+01  9.99886314E-01  2.23720116E-04
  1.80000000E+01  1.00009995E+00  2.47958198E-04
  1.81200000E+01  1.00001953E+00  2.28607390E-04
  1.82500000E+01  1.00037550E+00  2.53831495E-04
  1.83800000E+01  9.99766398E-01  2.50684390E-04
  1.85000000E+01  1.00020614E+00  2.37680248E-04
  1.86200000E+01  1.00025324E+00  2.25828619E-04
  1.87500000E+01  1.00019889E+00  2.09109914E-04
  1.88800000E+01  1.00032114E+00  2.32062954E-04
  1.90000000E+01  9.99993522E-01  2.42550724E-04
  1.91200000E+01  9.99710373E-01  2.10566578E-04
  1.92500000E+01  1.00002400E+00  2.53262398E-04
  1.93800000E+01  9.99754651E-01  2.34265685E-04
  1.95000000E+01  1.00015115E+00  2.43275594E-04
  1.96200000E+01  9.99545253E-01  2.47062657E-04
  1.97500000E+01  1.00004460E+00  2.33470736E-04
  1.98800000E+01  9.99906680E-01  2.66220814E-04
  2.00000000E+01  9.99901065E-01  2.34921880E-04
  2.01200000E+01  1.00001757E+00  2.26335310E-04
  2.02500000E+01  1.00009022E+00  2.24608909E-04
  2.03800000E+01  9.99744109E-01  2.31878184E-04
  2.05000000E+01  9.99726622E-01  2.31953410E-04
  2.06200000E+01  1.00001119E+00  2.20994674E-04
  2.07500000E+01  1.00010419E+00  2.39753598E-04
  2.08800000E+01  9.99879025E-01  2.53028562E-04
  2.10000000E+01  1.00010666E+00  2.23106902E-04
  2.11200000E+01  9.99988272E-01  2.38330809E-04
  2.12500000E+01  9.99803937E-01  2.46474939E-04
  2.13800000E+01  9.99829249E-01  2.27702232E-04
  2.15000000E+01  9.99569041E-01  2.23194131E-04
  2.16200000E+01  9.99948766E-01  2.31201580E-04
  2.17500000E+01  1.00010133E+00  2.13015584E-04
