#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  1.41200000E+01  1.00354216E+00  3.87663647E-04
  1.42500000E+01  1.00578761E+00  3.98930243E-04
  1.43800000E+01  1.00792877E+00  5.09772442E-04
  1.45000000E+01  1.00960470E+00  5.93500010E-04
  1.46200000E+01  1.00985725E+00  5.98384932E-04
  1.47500000E+01  1.00908894E+00  6.10954074E-04
  1.48800000E+01  1.00803819E+00  5.87894094E-04
  1.50000000E+01  1.00651019E+00  5.13649935E-04
  1.51200000E+01  1.00466194E+00  5.08028822E-04
  1.52500000E+01  1.00229750E+00  3.79434297E-04
  1.53800000E+01  9.99792156E-01  3.61918746E-04
  1.55000000E+01  9.97785225E-01  3.76651588E-04
  1.56200000E+01  9.96511149E-01  4.16593318E-04
  1.57500000E+01  9.94689848E-01  4.66535680E-04
  1.58800000E+01  9.93499707E-01  5.29003132E-04
  1.60000000E+01  9.92805247E-01  6.33101444E-04
  1.61200000E+01  9.92290854E-01  6.06818322E-04
  1.62500000E+01  9.92168182E-01  6.08986028E-04
  1.63800000E+01  9.92575739E-01  4.91398220E-04
  1.65000000E+01  9.93070066E-01  4.38623463E-04
  1.66200000E+01  9.94740380E-01  4.15265733E-04
  1.67500000E+01  9.96760137E-01  3.69161077E-04
  1.68800000E+01  9.99278301E-01  3.98847990E-04
  1.70000000E+01  1.00192149E+00  3.69531658E-04
  1.71200000E+01  1.00409559E+00  4.33486024E-04
  1.72500000E+01  1.00613582E+00  4.37452421E-04
  1.73800000E+01  1.00747690E+00  4.46703143E-04
  1.75000000E+01  1.00815377E+00  4.81688167E-04
  1.76200000E+01  1.00803002E+00  5.90964988E-04
  1.77500000E+01  1.00730076E+00  5.64960558E-04
  1.78800000E+01  1.00675627E+00  5.42000550E-04
  1.80000000E+01  1.00473353E+00  5.10956489E-04
  1.81200000E+01  1.00281434E+00  4.42250365E-04
  1.82500000E+01  1.00062180E+00  3.15824805E-04
  1.83800000E+01  9.99084923E-01  3.21655717E-04
  1.85000000E+01  9.97069716E-01  3.61349552E-04
  1.86200000E+01  9.96100621E-01  3.29557989E-04
  1.87500000E+01  9.95237331E-01  4.25908085E-04
  1.88800000E+01  9.94535794E-01  5.27987939E-04
  1.90000000E+01  9.93700585E-01  6.57992785E-04
  1.91200000E+01  9.93333503E-01  6.07013612E-04
  1.92500000E+01  9.93642973E-01  5.31952114E-04
  1.93800000E+01  9.93645058E-01  5.11777630E-04
  1.95000000E+01  9.95054098E-01  4.15942883E-04
  1.96200000E+01  9.96191322E-01  4.15504459E-04
  1.97500000E+01  9.98179593E-01  3.45403111E-04
  1.98800000E+01  1.00008301E+00  3.87066046E-04
  2.00000000E+01  1.00254255E+00  4.04496541E-04
  2.01200000E+01  1.00433184E+00  3.79957338E-04
  2.02500000E+01  1.00590581E+00  4.39305308E-04
  2.03800000E+01  1.00679038E+00  5.10527464E-04
  2.05000000E+01  1.00713895E+00  4.56206464E-04
  2.06200000E+01  1.00723335E+00  5.85241851E-04
  2.07500000E+01  1.00622343E+00  5.57458604E-04
  2.08800000E+01  1.00518762E+00  4.86795900E-04
  2.10000000E+01  1.00392361E+00  4.61274412E-04
  2.11200000E+01  1.00238013E+00  3.63659820E-04
  2.12500000E+01  9.99909253E-01  3.42342244E-04
  2.13800000E+01  9.98019070E-01  3.18986535E-04
  2.15000000E+01  9.96729399E-01  3.88021368E-04
  2.16200000E+01  9.95576109E-01  4.95958705E-04
  2.17500000E+01  9.94798052E-01  4.95715073E-04
  2.18800000E+01  9.93914738E-01  5.35413533E-04
  2.20000000E+01  9.93916285E-01  5.54401183E-04
  2.21200000E+01  9.93773324E-01  5.59510073E-04
  2.22500000E+01  9.94606889E-01  5.76178389E-04
  2.23800000E+01  9.94923128E-01  4.18186896E-04
  2.25000000E+01  9.96433793E-01  3.92395792E-04
  2.26200000E+01  9.97737700E-01  3.36745014E-04
  2.27500000E+01  9.99593490E-01  2.86213942E-04
  2.28800000E+01  1.00125117E+00  3.14264695E-04
  2.30000000E+01  1.00275626E+00  3.77863692E-04
  2.31200000E+01  1.00458975E+00  4.38075080E-04
  2.32500000E+01  1.00585667E+00  4.54874218E-04
  2.33800000E+01  1.00688221E+00  5.51518963E-04
  2.35000000E+01  1.00703131E+00  5.50805305E-04
  2.36200000E+01  1.00662936E+00  6.14490361E-04
  2.37500000E+01  1.00548600E+00  4.97018315E-04
  2.38800000E+01  1.00419078E+00  3.62044271E-04
  2.40000000E+01  1.00259181E+00  3.25889739E-04
  2.41200000E+01  1.00052140E+00  2.83286290E-04
  2.42500000E+01  9.98927290E-01  2.51793194E-04
  2.43800000E+01  9.97318956E-01  3.03714446E-04
  2.45000000E+01  9.96323128E-01  3.24071266E-04
  2.46200000E+01  9.95087931E-01  4.64143059E-04
  2.47500000E+01  9.93977057E-01  5.31783963E-04
  2.48800000E+01  9.94200059E-01  6.20243607E-04
