#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  9.33387172E-01  2.62665573E-04
  1.25000000E-01  9.34990321E-01  2.35710305E-04
  2.50000000E-01  9.38044966E-01  2.38961830E-04
  3.75000000E-01  9.42677441E-01  1.95622912E-04
  5.00000000E-01  9.47838037E-01  1.82487984E-04
  6.25000000E-01  9.53393672E-01  1.69989771E-04
  7.50000000E-01  9.59014479E-01  1.72405828E-04
  8.75000000E-01  9.64265859E-01  1.88141522E-04
  1.00000000E+00  9.68681635E-01  2.16700809E-04
  1.12500000E+00  9.73239276E-01  2.20974794E-04
  1.25000000E+00  9.76593309E-01  2.50083521E-04
  1.37500000E+00  9.79369058E-01  2.59839583E-04
  1.50000000E+00  9.81543294E-01  2.39334654E-04
  1.62500000E+00  9.83673322E-01  2.41819696E-04
  1.75000000E+00  9.85572031E-01  2.33247074E-04
  1.87500000E+00  9.88301805E-01  2.09464934E-04
  2.00000000E+00  9.91178410E-01  1.99403902E-04
  2.12500000E+00  9.95489450E-01  1.90418319E-04
  2.25000000E+00  1.00077932E+00  1.95757315E-04
  2.37500000E+00  1.00556093E+00  2.09102984E-04
  2.50000000E+00  1.00993686E+00  2.21651232E-04
  2.62500000E+00  1.01404926E+00  2.42628589E-04
  2.75000000E+00  1.01560011E+00  2.31441253E-04
  2.87500000E+00  1.01549763E+00  2.41903494E-04
  3.00000000E+00  1.01389537E+00  2.72310189E-04
  3.12500000E+00  1.01148023E+00  2.70008390E-04
  3.25000000E+00  1.00806911E+00  2.54559654E-04
  3.37500000E+00  1.00477989E+00  2.44159853E-04
  3.50000000E+00  1.00145470E+00  2.01740956E-04
  3.62500000E+00  9.98897070E-01  2.12783164E-04
  3.75000000E+00  9.96370817E-01  2.11399947E-04
  3.87500000E+00  9.95019086E-01  2.22526875E-04
  4.00000000E+00  9.93718622E-01  2.37883796E-04
  4.12500000E+00  9.93983595E-01  2.20467885E-04
  4.25000000E+00  9.94076521E-01  2.15420296E-04
  4.37500000E+00  9.94122819E-01  2.44854272E-04
  4.50000000E+00  9.94841005E-01  2.57304827E-04
  4.62500000E+00  9.95278184E-01  2.04978774E-04
  4.75000000E+00  9.95892569E-01  2.16080601E-04
  4.87500000E+00  9.96971569E-01  2.04131338E-04
  5.00000000E+00  9.97775419E-01  2.08243077E-04
  5.12500000E+00  9.98981409E-01  2.72827976E-04
  5.25000000E+00  9.99786680E-01  2.03209228E-04
  5.37500000E+00  1.00099600E+00  2.19824296E-04
  5.50000000E+00  1.00210374E+00  2.34929756E-04
  5.62500000E+00  1.00295899E+00  2.44446826E-04
  5.75000000E+00  1.00292923E+00  2.00836595E-04
  5.87500000E+00  1.00317735E+00  2.68095990E-04
  6.00000000E+00  1.00278422E+00  2.24768077E-04
  6.12500000E+00  1.00264689E+00  2.13399759E-04
  6.25000000E+00  1.00216303E+00  2.40653744E-04
  6.37500000E+00  1.00136286E+00  2.41978011E-04
  6.50000000E+00  1.00071140E+00  2.42408895E-04
  6.62500000E+00  9.99992706E-01  2.06886919E-04
  6.75000000E+00  9.99536181E-01  2.19680487E-04
  6.87500000E+00  9.98449559E-01  2.50683737E-04
  7.00000000E+00  9.98056298E-01  2.18694087E-04
  7.12500000E+00  9.97937902E-01  2.16311557E-04
  7.25000000E+00  9.97783046E-01  2.10580083E-04
  7.37500000E+00  9.97883233E-01  2.66010174E-04
  7.50000000E+00  9.98474236E-01  2.23661166E-04
  7.62500000E+00  9.98377642E-01  2.13482670E-04
  7.75000000E+00  9.98548389E-01  2.44248797E-04
  7.87500000E+00  9.99139274E-01  2.50442902E-04
  8.00000000E+00  9.99142015E-01  2.27747460E-04
  8.12500000E+00  9.99494610E-01  2.40967733E-04
  8.25000000E+00  9.99878840E-01  2.30308911E-04
  8.37500000E+00  1.00040431E+00  2.40009896E-04
  8.50000000E+00  1.00058921E+00  2.26544285E-04
  8.62500000E+00  1.00069890E+00  2.30824551E-04
  8.75000000E+00  1.00089622E+00  2.19165256E-04
  8.87500000E+00  1.00095545E+00  2.38891378E-04
  9.00000000E+00  1.00105844E+00  2.21767734E-04
  9.12500000E+00  1.00086035E+00  2.09637024E-04
  9.25000000E+00  1.00050468E+00  2.49855436E-04
  9.37500000E+00  1.00042871E+00  2.55112765E-04
  9.50000000E+00  1.00011386E+00  2.20240175E-04
  9.62500000E+00  9.99928412E-01  2.01826975E-04
  9.75000000E+00  9.99741104E-01  2.32713954E-04
  9.87500000E+00  9.99369804E-01  2.63625755E-04
  1.00000000E+01  9.99184180E-01  2.19971255E-04
  1.01200000E+01  9.99128337E-01  2.27743289E-04
  1.02500000E+01  9.98843962E-01  2.08705363E-04
  1.03800000E+01  9.99104926E-01  2.47363464E-04
  1.05000000E+01  9.99162427E-01  2.42241065E-04
  1.06200000E+01  9.98920962E-01  2.41320359E-04
  1.07500000E+01  9.99379110E-01  2.10708051E-04
  1.08800000E+01  9.99185160E-01  2.14318656E-04
  1.10000000E+01  9.99432879E-01  2.24752441E-04
  1.11200000E+01  9.99502181E-01  2.15168575E-04
  1.12500000E+01  9.99637930E-01  2.24806472E-04
  1.13800000E+01  9.99849256E-01  2.25031846E-04
  1.15000000E+01  9.99609426E-01  2.30664311E-04
  1.16200000E+01  9.99977412E-01  2.09509537E-04
  1.17500000E+01  1.00038632E+00  2.13741333E-04
  1.18800000E+01  1.00062117E+00  2.37075724E-04
  1.20000000E+01  1.00047045E+00  2.12266066E-04
  1.21200000E+01  1.00049090E+00  2.14512389E-04
  1.22500000E+01  1.00028257E+00  2.12747374E-04
  1.23800000E+01  1.00048915E+00  2.34140972E-04
  1.25000000E+01  1.00075363E+00  2.05162054E-04
  1.26200000E+01  1.00023974E+00  2.27995405E-04
  1.27500000E+01  1.00001788E+00  2.10036069E-04
  1.28800000E+01  9.99678595E-01  2.17323355E-04
  1.30000000E+01  9.99781409E-01  2.08217276E-04
  1.31200000E+01  9.99335776E-01  2.32192255E-04
  1.32500000E+01  9.99510486E-01  2.07518285E-04
  1.33800000E+01  9.99341590E-01  2.47928914E-04
  1.35000000E+01  9.99583917E-01  2.18492941E-04
  1.36200000E+01  9.99385017E-01  2.30502888E-04
  1.37500000E+01  9.99080433E-01  2.20039348E-04
  1.38800000E+01  9.99304595E-01  2.22039182E-04
