#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  1.41200000E+01  1.00082432E+00  2.57976990E-04
  1.42500000E+01  1.00082084E+00  2.73118716E-04
  1.43800000E+01  1.00110446E+00  2.56217003E-04
  1.45000000E+01  1.00114383E+00  2.72142887E-04
  1.46200000E+01  1.00105438E+00  2.65789969E-04
  1.47500000E+01  1.00107264E+00  2.47424622E-04
  1.48800000E+01  1.00085584E+00  2.27282920E-04
  1.50000000E+01  1.00044759E+00  2.49920964E-04
  1.51200000E+01  1.00051056E+00  2.55463911E-04
  1.52500000E+01  1.00000081E+00  2.44825410E-04
  1.53800000E+01  9.99921628E-01  2.84013896E-04
  1.55000000E+01  9.99864556E-01  2.40681666E-04
  1.56200000E+01  9.99435430E-01  2.48397602E-04
  1.57500000E+01  9.99042901E-01  2.43808799E-04
  1.58800000E+01  9.99037925E-01  2.44647037E-04
  1.60000000E+01  9.98767570E-01  2.68300526E-04
  1.61200000E+01  9.98696364E-01  2.39688224E-04
  1.62500000E+01  9.98543397E-01  2.74520713E-04
  1.63800000E+01  9.98574218E-01  2.65469895E-04
  1.65000000E+01  9.98760890E-01  2.57461571E-04
  1.66200000E+01  9.98798993E-01  2.48367325E-04
  1.67500000E+01  9.98769607E-01  2.37787294E-04
  1.68800000E+01  9.98915463E-01  2.23993188E-04
  1.70000000E+01  9.98880128E-01  2.40865506E-04
  1.71200000E+01  9.98990637E-01  2.35876705E-04
  1.72500000E+01  9.99299507E-01  2.42077631E-04
  1.73800000E+01  9.99544754E-01  2.38847922E-04
  1.75000000E+01  9.99633309E-01  2.51254641E-04
  1.76200000E+01  9.99772263E-01  2.51136021E-04
  1.77500000E+01  9.99774761E-01  2.52535809E-04
  1.78800000E+01  1.00016196E+00  2.72431141E-04
  1.80000000E+01  1.00007181E+00  2.75499314E-04
  1.81200000E+01  1.00028896E+00  2.79542773E-04
  1.82500000E+01  1.00034024E+00  2.71671629E-04
  1.83800000E+01  1.00029610E+00  2.26719053E-04
  1.85000000E+01  1.00024450E+00  2.78769918E-04
  1.86200000E+01  1.00012461E+00  2.46233427E-04
  1.87500000E+01  1.00017730E+00  2.26804545E-04
  1.88800000E+01  1.00003130E+00  2.20882224E-04
  1.90000000E+01  9.99770827E-01  2.35507489E-04
  1.91200000E+01  9.99639051E-01  2.59530963E-04
  1.92500000E+01  9.99577044E-01  2.47643109E-04
  1.93800000E+01  9.99530667E-01  2.48108437E-04
  1.95000000E+01  9.99483288E-01  2.50913312E-04
  1.96200000E+01  9.99513824E-01  2.65482597E-04
  1.97500000E+01  9.99065733E-01  2.57305094E-04
  1.98800000E+01  9.99178040E-01  2.68949160E-04
  2.00000000E+01  9.99412676E-01  2.28654959E-04
  2.01200000E+01  9.99116809E-01  2.57322449E-04
  2.02500000E+01  9.98851198E-01  2.70908786E-04
  2.03800000E+01  9.99130310E-01  1.95786839E-04
  2.05000000E+01  9.99286350E-01  1.97619121E-04
  2.06200000E+01  9.99209069E-01  2.05157976E-04
  2.07500000E+01  9.99274417E-01  2.30946172E-04
  2.08800000E+01  9.99358511E-01  2.36163282E-04
  2.10000000E+01  9.99529442E-01  2.47349231E-04
  2.11200000E+01  9.99716382E-01  2.69091888E-04
  2.12500000E+01  9.99448187E-01  2.80128085E-04
