#                   T = 1.60                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  1.84846950E-03  4.73264028E-04
  1.25000000E-01  1.73803539E-03  3.89170383E-04
  2.50000000E-01  1.94364168E-03  3.60643876E-04
  3.75000000E-01  2.11308457E-03  3.52065283E-04
  5.00000000E-01  1.77935219E-03  2.77956742E-04
  6.25000000E-01  2.21194618E-03  3.34461665E-04
  7.50000000E-01  2.76073155E-03  4.07430476E-04
  8.75000000E-01  3.01061661E-03  3.78912334E-04
  1.00000000E+00  3.84826359E-03  4.49952275E-04
  1.12500000E+00  4.62242347E-03  4.74774285E-04
  1.25000000E+00  5.89503890E-03  5.83779821E-04
  1.37500000E+00  7.32791237E-03  6.47186170E-04
  1.50000000E+00  9.79797555E-03  9.79544146E-04
  1.62500000E+00  1.45845155E-02  1.12765177E-03
  1.75000000E+00  2.33652859E-02  1.60297333E-03
  1.87500000E+00  4.64731740E-02  2.42767333E-03
  2.00000000E+00  9.64457203E-02  3.90527350E-03
  2.12500000E+00  1.97150555E-01  7.14664872E-03
  2.25000000E+00  3.89236704E-01  1.17569956E-02
  2.37500000E+00  6.72079671E-01  1.59372692E-02
  2.50000000E+00  1.00511590E+00  2.39159428E-02
  2.62500000E+00  1.37901998E+00  2.68474235E-02
  2.75000000E+00  1.71242445E+00  2.86993490E-02
  2.87500000E+00  1.98599312E+00  2.71666936E-02
  3.00000000E+00  2.15830275E+00  2.51198736E-02
  3.12500000E+00  2.21736214E+00  1.99191094E-02
  3.25000000E+00  2.19292741E+00  1.48698702E-02
  3.37500000E+00  2.09517994E+00  1.29004450E-02
  3.50000000E+00  1.93141977E+00  1.60446196E-02
  3.62500000E+00  1.74794988E+00  2.09188968E-02
  3.75000000E+00  1.49848526E+00  2.40226799E-02
  3.87500000E+00  1.25866196E+00  2.87755219E-02
  4.00000000E+00  1.02542580E+00  2.86717111E-02
  4.12500000E+00  8.34140585E-01  2.99868138E-02
  4.25000000E+00  6.69971465E-01  2.87993046E-02
  4.37500000E+00  5.16836908E-01  2.63627684E-02
  4.50000000E+00  4.08257169E-01  2.26673666E-02
  4.62500000E+00  3.23969706E-01  2.08599836E-02
  4.75000000E+00  2.57903355E-01  1.68008739E-02
  4.87500000E+00  2.20043247E-01  1.33235392E-02
  5.00000000E+00  2.06201266E-01  1.01998987E-02
  5.12500000E+00  2.27305611E-01  6.95960400E-03
  5.25000000E+00  2.78210676E-01  7.51066871E-03
  5.37500000E+00  3.67151638E-01  1.09395271E-02
  5.50000000E+00  4.95226560E-01  1.78827488E-02
  5.62500000E+00  6.69250050E-01  2.46143377E-02
  5.75000000E+00  8.47834436E-01  3.18201290E-02
  5.87500000E+00  1.05210116E+00  3.63732454E-02
  6.00000000E+00  1.26250294E+00  4.07872479E-02
  6.12500000E+00  1.45689563E+00  4.33826667E-02
  6.25000000E+00  1.61060914E+00  4.01986986E-02
  6.37500000E+00  1.72421288E+00  3.90181334E-02
  6.50000000E+00  1.78843462E+00  3.27555177E-02
  6.62500000E+00  1.80673602E+00  2.38833948E-02
  6.75000000E+00  1.76768626E+00  1.56669252E-02
  6.87500000E+00  1.68703949E+00  1.52145586E-02
  7.00000000E+00  1.56226997E+00  2.03714427E-02
  7.12500000E+00  1.41741559E+00  2.69401407E-02
  7.25000000E+00  1.24415759E+00  3.21948964E-02
  7.37500000E+00  1.09987477E+00  3.77912626E-02
  7.50000000E+00  9.38631611E-01  4.10336177E-02
  7.62500000E+00  8.06397149E-01  4.27128903E-02
  7.75000000E+00  6.80340608E-01  4.23574697E-02
  7.87500000E+00  5.79014726E-01  4.13330544E-02
  8.00000000E+00  4.92731104E-01  3.73905030E-02
  8.12500000E+00  4.23255002E-01  3.21545628E-02
  8.25000000E+00  3.94784146E-01  2.80276792E-02
  8.37500000E+00  3.77888011E-01  2.03818355E-02
  8.50000000E+00  3.94642508E-01  1.46673607E-02
  8.62500000E+00  4.48345618E-01  1.31353951E-02
  8.75000000E+00  5.20332815E-01  1.79882744E-02
  8.87500000E+00  6.30363982E-01  2.54989519E-02
  9.00000000E+00  7.58698965E-01  3.30868348E-02
  9.12500000E+00  9.04904977E-01  4.12165197E-02
  9.25000000E+00  1.06424398E+00  4.78383864E-02
  9.37500000E+00  1.21150297E+00  5.13760757E-02
  9.50000000E+00  1.33310762E+00  5.44182235E-02
  9.62500000E+00  1.45189328E+00  5.31796028E-02
  9.75000000E+00  1.53264163E+00  4.71197324E-02
  9.87500000E+00  1.57215764E+00  4.23447634E-02
  1.00000000E+01  1.58593603E+00  3.42382217E-02
  1.01200000E+01  1.56698656E+00  2.63756329E-02
  1.02500000E+01  1.51434548E+00  1.95998234E-02
  1.03800000E+01  1.41078868E+00  2.12757277E-02
  1.05000000E+01  1.31854712E+00  2.86306167E-02
  1.06200000E+01  1.21125693E+00  3.45011351E-02
  1.07500000E+01  1.09037680E+00  4.46400196E-02
  1.08800000E+01  9.66562560E-01  4.89635729E-02
  1.10000000E+01  8.66561255E-01  5.27920025E-02
  1.11200000E+01  7.59372144E-01  5.25934216E-02
  1.12500000E+01  6.82314282E-01  5.30464594E-02
  1.13800000E+01  6.17570420E-01  4.92563331E-02
  1.15000000E+01  5.50595457E-01  4.49892856E-02
  1.16200000E+01  5.35183835E-01  4.00869743E-02
  1.17500000E+01  5.19920059E-01  2.99466660E-02
  1.18800000E+01  5.39604284E-01  2.25651325E-02
  1.20000000E+01  5.85680546E-01  1.78693791E-02
  1.21200000E+01  6.46873363E-01  2.17512101E-02
  1.22500000E+01  7.35000662E-01  2.84543850E-02
  1.23800000E+01  8.28909971E-01  3.74489296E-02
  1.25000000E+01  9.44228536E-01  4.61381900E-02
  1.26200000E+01  1.06137891E+00  5.39808217E-02
  1.27500000E+01  1.16346927E+00  6.00574232E-02
  1.28800000E+01  1.25039984E+00  6.16215417E-02
  1.30000000E+01  1.33250528E+00  6.21712989E-02
  1.31200000E+01  1.39334014E+00  6.08887773E-02
  1.32500000E+01  1.43100181E+00  5.34294806E-02
  1.33800000E+01  1.43059141E+00  4.37550239E-02
  1.35000000E+01  1.40933507E+00  3.24862160E-02
  1.36200000E+01  1.36101258E+00  2.24125684E-02
  1.37500000E+01  1.29231371E+00  1.78879408E-02
  1.38800000E+01  1.23765277E+00  2.65566347E-02
  1.40000000E+01  1.15439798E+00  3.49920216E-02
  1.41200000E+01  1.06500082E+00  4.49439783E-02
  1.42500000E+01  9.79173543E-01  5.13865151E-02
  1.43800000E+01  8.96238995E-01  5.78668123E-02
  1.45000000E+01  8.31632373E-01  6.07675315E-02
  1.46200000E+01  7.67367408E-01  6.32668163E-02
  1.47500000E+01  7.10325518E-01  6.03187763E-02
  1.48800000E+01  6.74369026E-01  5.60304261E-02
  1.50000000E+01  6.52040662E-01  4.94583396E-02
  1.51200000E+01  6.44548429E-01  4.07689521E-02
  1.52500000E+01  6.53606594E-01  2.99713310E-02
  1.53800000E+01  6.78910059E-01  2.13609259E-02
  1.55000000E+01  7.47230543E-01  1.85990518E-02
  1.56200000E+01  8.14099560E-01  2.61877958E-02
  1.57500000E+01  8.92539016E-01  3.66624219E-02
  1.58800000E+01  9.78104644E-01  4.66726950E-02
  1.60000000E+01  1.07522557E+00  5.57832913E-02
  1.61200000E+01  1.14406997E+00  6.34973454E-02
  1.62500000E+01  1.20184314E+00  6.63986367E-02
  1.63800000E+01  1.26173907E+00  6.87097895E-02
  1.65000000E+01  1.29056752E+00  6.63412738E-02
  1.66200000E+01  1.29982959E+00  5.97029443E-02
  1.67500000E+01  1.29686868E+00  4.98124969E-02
  1.68800000E+01  1.27871320E+00  4.07348419E-02
  1.70000000E+01  1.23821119E+00  2.87554411E-02
  1.71200000E+01  1.18921914E+00  1.87285881E-02
  1.72500000E+01  1.15098769E+00  1.79047599E-02
  1.73800000E+01  1.08391154E+00  2.70794508E-02
  1.75000000E+01  1.02643634E+00  3.97199882E-02
  1.76200000E+01  9.77836077E-01  5.03428238E-02
  1.77500000E+01  9.18508842E-01  5.90984049E-02
  1.78800000E+01  8.75084025E-01  6.72339094E-02
  1.80000000E+01  8.28256573E-01  6.92327839E-02
  1.81200000E+01  7.93902145E-01  6.93843397E-02
  1.82500000E+01  7.64699334E-01  6.69432588E-02
  1.83800000E+01  7.49721676E-01  5.91802754E-02
  1.85000000E+01  7.53746656E-01  4.93017572E-02
  1.86200000E+01  7.54832250E-01  3.63374698E-02
  1.87500000E+01  7.78840062E-01  2.35453496E-02
  1.88800000E+01  8.19631918E-01  1.58346535E-02
  1.90000000E+01  8.75429999E-01  1.86683537E-02
  1.91200000E+01  9.54413460E-01  3.10645226E-02
  1.92500000E+01  1.01010047E+00  4.34902557E-02
  1.93800000E+01  1.07161116E+00  5.49329732E-02
  1.95000000E+01  1.12342176E+00  6.19810723E-02
  1.96200000E+01  1.16766029E+00  6.94273376E-02
  1.97500000E+01  1.19048542E+00  7.17509947E-02
  1.98800000E+01  1.22313326E+00  7.21663367E-02
  2.00000000E+01  1.21929064E+00  6.67685194E-02
  2.01200000E+01  1.20849704E+00  5.87841303E-02
  2.02500000E+01  1.18574226E+00  4.59084333E-02
  2.03800000E+01  1.15810007E+00  3.39814144E-02
  2.05000000E+01  1.14346628E+00  2.09282678E-02
  2.06200000E+01  1.08870203E+00  1.20497587E-02
  2.07500000E+01  1.04312563E+00  1.97296966E-02
  2.08800000E+01  9.90936361E-01  3.24323300E-02
  2.10000000E+01  9.58036673E-01  4.42611375E-02
  2.11200000E+01  9.11419364E-01  5.49344534E-02
  2.12500000E+01  8.81235459E-01  6.53760654E-02
  2.13800000E+01  8.34080944E-01  6.90816634E-02
  2.15000000E+01  8.13336579E-01  7.19271653E-02
  2.16200000E+01  8.10718854E-01  7.19124175E-02
  2.17500000E+01  8.07728325E-01  6.54601759E-02
  2.18800000E+01  8.09608190E-01  5.58248655E-02
  2.20000000E+01  8.45309153E-01  4.64829495E-02
  2.21200000E+01  8.58284334E-01  3.18591600E-02
  2.22500000E+01  9.03356658E-01  1.80788707E-02
  2.23800000E+01  9.43265223E-01  1.08685106E-02
  2.25000000E+01  9.85246878E-01  2.12042226E-02
  2.26200000E+01  1.03538994E+00  3.54617466E-02
  2.27500000E+01  1.08951202E+00  4.89562020E-02
  2.28800000E+01  1.11748850E+00  6.10256855E-02
  2.30000000E+01  1.15784628E+00  6.79130938E-02
  2.31200000E+01  1.17769578E+00  7.52196157E-02
  2.32500000E+01  1.17564088E+00  7.41424008E-02
  2.33800000E+01  1.17798382E+00  6.99946642E-02
  2.35000000E+01  1.17074818E+00  6.63064404E-02
  2.36200000E+01  1.14494228E+00  5.56480601E-02
  2.37500000E+01  1.11340657E+00  4.13969022E-02
  2.38800000E+01  1.08373924E+00  2.74241689E-02
  2.40000000E+01  1.05039199E+00  1.31156500E-02
  2.41200000E+01  1.00118406E+00  1.01193176E-02
  2.42500000E+01  9.53047452E-01  2.28411141E-02
  2.43800000E+01  9.09966146E-01  3.89516112E-02
  2.45000000E+01  8.85617458E-01  5.35593796E-02
  2.46200000E+01  8.50761416E-01  6.15180054E-02
